;cole_naturaleza;cole_bilingue;cole_calendario;cole_jornada;fami_tieneautomovil;fami_estratovivienda;fami_tieneinternet;fami_tienecomputador;estu_edad_cat;desemp_ingles;avg_punt_global
20843;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;No;<= 25;A2;High
20844;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;A-;Low
20845;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;A1;Medium
20846;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;A2;High
20847;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;B+;Very High
20848;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;B1;Very High
20849;OFICIAL;N;A;TARDE;Si;Estrato 4;No;No;<= 25;A1;High
20850;OFICIAL;N;A;TARDE;Si;Estrato 4;Si;Si;<= 25;A1;High
20851;OFICIAL;N;A;TARDE;Si;Estrato 4;Si;Si;<= 25;A2;Medium
20852;OFICIAL;N;A;TARDE;Si;Estrato 4;Si;Si;<= 25;B1;High
20853;OFICIAL;N;A;TARDE;Si;Sin Estrato;No;Si;<= 25;A-;Low
20854;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A-;Medium
20855;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A1;Medium
20856;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A2;Very High
20857;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;Si;<= 25;A-;Medium
20858;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;Si;<= 25;A1;Medium
20859;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;Si;<= 25;A2;High
20860;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A-;Low
20861;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A1;Medium
20862;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A-;Low
20863;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A1;High
20864;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
20865;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
20866;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;No;<= 25;A-;Medium
20867;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;No;<= 25;A1;Medium
20868;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;Si;<= 25;A-;High
20869;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;Si;<= 25;A2;Very High
20870;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;No;<= 25;A-;Low
20871;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;No;<= 25;A1;Low
20872;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;No;<= 25;A2;High
20873;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A-;Low
20874;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A1;Medium
20875;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A2;High
20876;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;B1;High
20877;OFICIAL;N;A;MAÑANA;No;Estrato 4;Si;Si;<= 25;A-;Low
20878;OFICIAL;N;A;MAÑANA;No;Estrato 5 y 6;Si;Si;<= 25;A1;Medium
20879;OFICIAL;N;A;MAÑANA;No;Estrato 5 y 6;Si;Si;<= 25;A2;High
20880;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;No;No;<= 25;A1;Medium
